epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3459,1.28357,0.91068,1.09374,0.00229,0.02579,0.00118,0.00074,nan,nan,nan,0.000663446,0.000663446,0.000663446
2,148.898,1.24768,0.6797,1.07998,0.93177,0.90282,0.96481,0.64451,1.17129,0.78529,1.07857,0.00128622,0.00128622,0.00128622
3,221.926,1.20114,0.63859,1.0597,0.88064,0.93828,0.9602,0.62579,1.20174,0.80481,1.11155,0.00186499,0.00186499,0.00186499
4,294.549,1.20168,0.62389,1.05591,0.94657,0.93526,0.96815,0.65092,1.1856,0.61391,1.07448,0.001802,0.001802,0.001802
5,367.189,1.16541,0.5869,1.03643,0.97197,0.95681,0.98921,0.65987,1.14974,0.5554,1.0719,0.001736,0.001736,0.001736
6,439.965,1.14095,0.56649,1.0275,0.96801,0.95621,0.98217,0.63688,1.20459,0.5591,1.0919,0.00167,0.00167,0.00167
7,512.717,1.14066,0.553,1.02699,0.97397,0.96761,0.99008,0.68112,1.11974,0.50234,1.03882,0.001604,0.001604,0.001604
8,585.393,1.11424,0.534,1.01489,0.98541,0.97267,0.99322,0.68559,1.12658,0.47855,1.0461,0.001538,0.001538,0.001538
9,658.08,1.11032,0.5248,1.01361,0.96729,0.97001,0.98343,0.66556,1.14269,0.50831,1.05487,0.001472,0.001472,0.001472
10,731.768,1.09062,0.51419,1.00661,0.97487,0.95422,0.97995,0.64915,1.21297,0.5235,1.09133,0.001406,0.001406,0.001406
11,804.509,1.0839,0.49812,0.99961,0.98544,0.9743,0.99127,0.67764,1.12795,0.47775,1.04883,0.00134,0.00134,0.00134
12,877.038,1.07451,0.49357,1.00056,0.98115,0.9784,0.99334,0.70216,1.09991,0.45526,1.03202,0.001274,0.001274,0.001274
13,949.719,1.06593,0.48601,0.99476,0.99007,0.97181,0.9924,0.65586,1.17768,0.47219,1.08249,0.001208,0.001208,0.001208
14,1022.11,1.0533,0.47876,0.99002,0.99117,0.9754,0.99418,0.7107,1.0672,0.42854,1.01504,0.001142,0.001142,0.001142
15,1094.84,1.05667,0.47104,0.9924,0.99,0.97361,0.99321,0.72102,1.05199,0.42553,1.01169,0.001076,0.001076,0.001076
16,1167.73,1.04375,0.46127,0.98254,0.98786,0.97593,0.99305,0.71094,1.06465,0.41311,1.01378,0.00101,0.00101,0.00101
17,1240.21,1.05231,0.46331,0.98885,0.98487,0.9765,0.99384,0.70882,1.05629,0.42454,1.01111,0.000944,0.000944,0.000944
18,1312.57,1.04474,0.45714,0.98872,0.99028,0.96821,0.99196,0.68994,1.11125,0.43621,1.03978,0.000878,0.000878,0.000878
19,1385.2,1.03642,0.4486,0.98384,0.987,0.9838,0.99351,0.71754,1.05708,0.40674,1.01144,0.000812,0.000812,0.000812
20,1457.74,1.01971,0.44094,0.97789,0.99075,0.982,0.99404,0.72184,1.03926,0.40013,1.00859,0.000746,0.000746,0.000746
21,1531.02,1.02277,0.41808,1.0141,0.99221,0.9862,0.99482,0.72216,1.05766,0.40471,1.00585,0.00068,0.00068,0.00068
22,1603.65,1.01287,0.41077,1.01029,0.98742,0.976,0.99375,0.71575,1.0542,0.41726,1.00963,0.000614,0.000614,0.000614
23,1676.15,1.00275,0.40649,1.00595,0.98863,0.9826,0.99422,0.72649,1.03683,0.38698,0.99966,0.000548,0.000548,0.000548
24,1748.63,1.00122,0.39825,1.00541,0.99392,0.985,0.99474,0.72671,1.04017,0.39146,1.00511,0.000482,0.000482,0.000482
25,1821.38,0.99325,0.38912,0.99968,0.99095,0.98502,0.99446,0.73824,1.02577,0.38841,1.00404,0.000416,0.000416,0.000416
26,1894.05,0.98344,0.38034,0.99886,0.992,0.9826,0.99451,0.73001,1.02946,0.38215,1.00051,0.00035,0.00035,0.00035
27,1967.07,0.97515,0.37686,0.99157,0.98385,0.98655,0.99414,0.73468,1.02036,0.3756,0.9948,0.000284,0.000284,0.000284
28,2039.68,0.96877,0.37054,0.99347,0.98979,0.9884,0.99392,0.73119,1.02909,0.37345,1.00063,0.000218,0.000218,0.000218
29,2112.4,0.95722,0.36381,0.98735,0.98977,0.98683,0.99467,0.73523,1.00656,0.36448,0.99211,0.000152,0.000152,0.000152
30,2185.75,0.95345,0.35731,0.98869,0.99276,0.98753,0.99483,0.73556,1.01683,0.36255,0.99554,8.6e-05,8.6e-05,8.6e-05
